term,estimate,std.error
beta,1.50885644088803,0.0293691351393934
mu0,0.577481654041976,0.068690394043663
sigma0,0.38123123431715,0.0343124206581737
beta,1.52102003933154,0.0218931896739183
mu0,0.550665833671468,0.0655219066266296
sigma0,0.475464670033289,0.0369392728950694
beta,1.45272319845606,0.0211867093390693
mu0,0.337984387230962,0.0615803231824068
sigma0,0.419239053493966,0.0338051674774433
beta,1.48916749878985,0.0229298861847033
mu0,0.466892352126004,0.0666255595241761
sigma0,0.489961277695151,0.0403973254893839
beta,1.5081816126053,0.0198268016257144
mu0,0.469118446456822,0.0548162250149081
sigma0,0.428223639873625,0.0411646970981306
beta,1.44673174418323,0.0207477259098734
mu0,0.408792226218325,0.06456738255751
sigma0,0.499084975510545,0.0469279885577305
beta,1.46480848057411,0.0309556198335958
mu0,0.60786831842188,0.0560098510833749
sigma0,0.363612070058178,0.0479168174443793
beta,1.51892122010596,0.0216794217968794
mu0,0.474877837440203,0.0671307796036482
sigma0,0.490445189362062,0.0413697714306588
beta,1.48038408184254,0.0228329940970627
mu0,0.448674496460451,0.0767964507512944
sigma0,0.48958291715561,0.0425525615253348
beta,1.46355219103839,0.0288190959701253
mu0,0.659114792042481,0.0596961339333008
sigma0,0.380708704530145,0.0305439869084405
beta,1.49742971871903,0.0204194903068309
mu0,0.44537557628703,0.0594749950623756
sigma0,0.411168745955454,0.0373752525576263
beta,1.45870541114314,0.0238181119724678
mu0,0.420975446282418,0.065536930222032
sigma0,0.438644491459189,0.0340147059190771
beta,1.52037529868722,0.0281000172427147
mu0,0.512347438364974,0.0722610017517594
sigma0,0.444566015414335,0.0373556653157283
beta,1.46107965811912,0.0279109223972415
mu0,0.48691000524048,0.0618618482255525
sigma0,0.369016183224469,0.0387579802244739
beta,1.49113614486618,0.0245609278133817
mu0,0.513558955238838,0.0687880402849163
sigma0,0.458383249898156,0.0452925323995382
beta,1.4807812367415,0.026106537557083
mu0,0.540458534670111,0.0608612209063934
sigma0,0.413061612698493,0.0345880463039915
beta,1.50285099398182,0.0227505504210752
mu0,0.433034717296184,0.0677060687643006
sigma0,0.47915140176198,0.0434317107118339
beta,1.50442239350875,0.0235447520076113
mu0,0.510366631885653,0.0513938659772059
sigma0,0.375315381323307,0.0292578407310948
beta,1.51904566643348,0.0268805237956257
mu0,0.526839568004774,0.0620287522164237
sigma0,0.416829340199433,0.0355010302810913
beta,1.5313989361842,0.0220889693356131
mu0,0.547611065427932,0.0660526311308561
sigma0,0.454055799087071,0.0423565870478925
beta,1.47059088694945,0.0217103949708876
mu0,0.395301741956776,0.0708649128907171
sigma0,0.477703450375442,0.0420041555418316
beta,1.49302765478387,0.0205332403231752
mu0,0.461387938345086,0.0572053767284628
sigma0,0.475253266212841,0.0443246020835544
beta,1.48843641901282,0.0259874004121354
mu0,0.464414851629538,0.064905221951324
sigma0,0.435738550841962,0.0442906089043529
beta,1.48070638569541,0.0232515225687205
mu0,0.551781072449894,0.0578144578493513
