term,estimate,std.error,D,sim_scenaio
beta,1.21193757631087,0.0838518759561868,10,JPLP_sim
kappa,0.764648952392154,0.0575960561571664,10,JPLP_sim
R1_K[1],1.07701355745223,0.0902758544912341,10,JPLP_sim
R1_K[2],0.324529494817347,0.0884554850598335,10,JPLP_sim
R1_K[3],0.194642169694724,0.0493194432077338,10,JPLP_sim
mu0_true,0.138970392035529,0.198218621276293,10,JPLP_sim
sigma0,0.716993704149935,0.21470505295694,10,JPLP_sim
beta,1.12690570131283,0.084734623330207,10,JPLP_sim
kappa,0.825584087533085,0.0574691702765781,10,JPLP_sim
R1_K[1],0.969977577025411,0.096900870774125,10,JPLP_sim
R1_K[2],0.371395833190399,0.0952859031368021,10,JPLP_sim
R1_K[3],0.235098975429868,0.0595039165256303,10,JPLP_sim
mu0_true,0.145831559075791,0.291215789472119,10,JPLP_sim
sigma0,0.432602374906887,0.154217371242804,10,JPLP_sim
beta,1.08371705735745,0.0963907158015126,10,JPLP_sim
kappa,0.863876607666411,0.0698894162507603,10,JPLP_sim
R1_K[1],1.1659151242934,0.143995855314842,10,JPLP_sim
R1_K[2],0.395653962839935,0.128702229357226,10,JPLP_sim
R1_K[3],0.200447205993746,0.0634111617573614,10,JPLP_sim
mu0_true,0.255735185293853,0.252258227441851,10,JPLP_sim
sigma0,0.243859745203305,0.115415492249537,10,JPLP_sim
beta,1.19552964903679,0.106578937484059,10,JPLP_sim
kappa,0.81993274960369,0.077783623324959,10,JPLP_sim
R1_K[1],1.01355860506256,0.121723141995291,10,JPLP_sim
R1_K[2],0.343712197408526,0.101991912404546,10,JPLP_sim
R1_K[3],0.214595879666438,0.0624042580000292,10,JPLP_sim
mu0_true,0.274262553690583,0.192827528719314,10,JPLP_sim
sigma0,0.724751385013725,0.202797097923051,10,JPLP_sim
beta,1.16699209075184,0.0804495267681082,10,JPLP_sim
kappa,0.77135448104204,0.0552412560169065,10,JPLP_sim
R1_K[1],1.20241432819246,0.107432253791601,10,JPLP_sim
R1_K[2],0.25452265888208,0.0925058656080468,10,JPLP_sim
R1_K[3],0.222671930930886,0.0470578710196093,10,JPLP_sim
mu0_true,0.108418416364337,0.283861209674716,10,JPLP_sim
sigma0,0.77971290767908,0.222633774197602,10,JPLP_sim
beta,1.08535051442597,0.0664450305171701,10,JPLP_sim
kappa,0.875660146296447,0.0527357364786434,10,JPLP_sim
R1_K[1],1.07525736077317,0.0807572588250166,10,JPLP_sim
R1_K[2],0.380293058093737,0.0633073568833383,10,JPLP_sim
R1_K[3],0.211709110357722,0.0499717796836222,10,JPLP_sim
mu0_true,0.0752834782976861,0.293478343020454,10,JPLP_sim
sigma0,0.631654426282672,0.188881490765424,10,JPLP_sim
beta,1.20325545104385,0.0920358735350573,10,JPLP_sim
kappa,0.802490048194229,0.0635133844961382,10,JPLP_sim
R1_K[1],1.04018857665668,0.108214644338977,10,JPLP_sim
R1_K[2],0.442328328096033,0.0972385886900033,10,JPLP_sim
R1_K[3],0.170994292142969,0.0411376926398867,10,JPLP_sim
mu0_true,0.214860628578039,0.258770672930668,10,JPLP_sim
sigma0,0.485789670414451,0.14879004189877,10,JPLP_sim
beta,1.15886810812397,0.0747849909874961,10,JPLP_sim
kappa,0.805301331387894,0.0542969667810804,10,JPLP_sim
R1_K[1],1.07206561988374,0.0944612700353763,10,JPLP_sim
R1_K[2],0.360318309826965,0.0789760298282943,10,JPLP_sim
R1_K[3],0.300930457349167,0.0519612096590301,10,JPLP_sim
mu0_true,-0.402289334222219,0.234736393337449,10,JPLP_sim
