term,estimate,std.error,D,sim_scenaio
R1_K[3],0.257230936882776,0.0544409031137621,10,PLP_sim_for_JPLP
mu0_true,-0.394052656031192,0.261663337907264,10,PLP_sim_for_JPLP
sigma0,0.874448912915737,0.2503828077609,10,PLP_sim_for_JPLP
beta,1.069060450665,0.0419505228930052,10,PLP_sim_for_JPLP
R1_K[1],1.10833475940283,0.0702840942062853,10,PLP_sim_for_JPLP
R1_K[2],0.34204066544342,0.0813665210836292,10,PLP_sim_for_JPLP
R1_K[3],0.313526987109503,0.0402839588339129,10,PLP_sim_for_JPLP
mu0_true,-0.0753971966652272,0.326274040044134,10,PLP_sim_for_JPLP
sigma0,0.733581404054303,0.2337177635574,10,PLP_sim_for_JPLP
beta,1.0581126761773,0.0429390454100224,10,PLP_sim_for_JPLP
R1_K[1],1.13202951480378,0.057684866160805,10,PLP_sim_for_JPLP
R1_K[2],0.419181549436406,0.0812389919314789,10,PLP_sim_for_JPLP
R1_K[3],0.345709632011061,0.0510582199604864,10,PLP_sim_for_JPLP
mu0_true,-0.0597451358082074,0.296622161924813,10,PLP_sim_for_JPLP
sigma0,0.457389026268809,0.156645629001903,10,PLP_sim_for_JPLP
beta,1.05535221681069,0.0590733426558571,10,PLP_sim_for_JPLP
R1_K[1],1.2153795809426,0.0977926734290842,10,PLP_sim_for_JPLP
R1_K[2],0.387017825118231,0.0790990571396052,10,PLP_sim_for_JPLP
R1_K[3],0.275418437883733,0.0533260066192923,10,PLP_sim_for_JPLP
mu0_true,0.0165385591290471,0.249637878997707,10,PLP_sim_for_JPLP
sigma0,0.298764783672091,0.153637741641659,10,PLP_sim_for_JPLP
beta,1.13255550618009,0.0735278847658495,10,PLP_sim_for_JPLP
R1_K[1],1.14591088081726,0.1173686069699,10,PLP_sim_for_JPLP
R1_K[2],0.418027671661068,0.115076628827541,10,PLP_sim_for_JPLP
R1_K[3],0.219315963101652,0.0598255327754512,10,PLP_sim_for_JPLP
mu0_true,0.203424639830421,0.204722978230719,10,PLP_sim_for_JPLP
sigma0,0.598394822407578,0.191237045799565,10,PLP_sim_for_JPLP
beta,1.01886167522072,0.0552052076846885,10,PLP_sim_for_JPLP
R1_K[1],1.14700124256515,0.0984267144747493,10,PLP_sim_for_JPLP
R1_K[2],0.442801306607402,0.086417163849148,10,PLP_sim_for_JPLP
R1_K[3],0.197985026011863,0.0506090785707296,10,PLP_sim_for_JPLP
mu0_true,0.138571794133992,0.267985091601656,10,PLP_sim_for_JPLP
sigma0,0.735600677572119,0.231173285268731,10,PLP_sim_for_JPLP
beta,1.01456950911949,0.0480255713527627,10,PLP_sim_for_JPLP
R1_K[1],1.27991604381723,0.0926361137800718,10,PLP_sim_for_JPLP
R1_K[2],0.346345812708314,0.0963237978614101,10,PLP_sim_for_JPLP
R1_K[3],0.236930315418601,0.0447319700874137,10,PLP_sim_for_JPLP
mu0_true,-0.250792488182307,0.305653232753751,10,PLP_sim_for_JPLP
sigma0,0.874600040680116,0.247878716863796,10,PLP_sim_for_JPLP
beta,0.878245065756011,0.0510403348332322,10,PLP_sim_for_JPLP
R1_K[1],1.42026983940209,0.145655886526583,10,PLP_sim_for_JPLP
R1_K[2],0.658368960216301,0.137848494752242,10,PLP_sim_for_JPLP
R1_K[3],0.363677621176831,0.0686307882154068,10,PLP_sim_for_JPLP
mu0_true,-0.501636778888322,0.38402600556991,10,PLP_sim_for_JPLP
sigma0,0.744906717658438,0.239120095540611,10,PLP_sim_for_JPLP
beta,1.03281571871708,0.0616354388440094,10,PLP_sim_for_JPLP
R1_K[1],1.19886242557073,0.110011868465139,10,PLP_sim_for_JPLP
R1_K[2],0.150213925823039,0.0942713387132733,10,PLP_sim_for_JPLP
R1_K[3],0.185133155366115,0.0490618066439223,10,PLP_sim_for_JPLP
mu0_true,0.467069049075056,0.327303911802971,10,PLP_sim_for_JPLP
sigma0,0.626857550688597,0.168569759136671,10,PLP_sim_for_JPLP
beta,1.06914588238561,0.0620464787887057,10,PLP_sim_for_JPLP
R1_K[1],0.950620584026044,0.090116176475882,10,PLP_sim_for_JPLP
R1_K[2],0.225911366168469,0.0912238077342065,10,PLP_sim_for_JPLP
R1_K[3],0.156946165397141,0.0484186590072374,10,PLP_sim_for_JPLP
mu0_true,0.323362668349507,0.252835452413007,10,PLP_sim_for_JPLP
sigma0,0.563301455919286,0.183980978828416,10,PLP_sim_for_JPLP
beta,0.988525032713869,0.0603329688981009,10,PLP_sim_for_JPLP
R1_K[1],1.12515297773463,0.0967013720729437,10,PLP_sim_for_JPLP
R1_K[2],0.631035090341367,0.134819070652371,10,PLP_sim_for_JPLP
R1_K[3],0.254179919625823,0.0699129461393458,10,PLP_sim_for_JPLP
mu0_true,-0.257935587352127,0.277191563608261,10,PLP_sim_for_JPLP
sigma0,0.538137980524763,0.18921210880755,10,PLP_sim_for_JPLP
beta,0.908411210953941,0.0521466586013155,10,PLP_sim_for_JPLP
R1_K[1],1.36654650393565,0.120945609409696,10,PLP_sim_for_JPLP
R1_K[2],0.4261495111929,0.11111000483358,10,PLP_sim_for_JPLP
R1_K[3],0.258504362421771,0.0590851900446039,10,PLP_sim_for_JPLP
mu0_true,-0.453572971390851,0.243898803710305,10,PLP_sim_for_JPLP
