term,estimate,std.error,D,sim_scenaio
R1_K[3],0.285432880323966,0.0402919354245302,10,PLP_sim
mu0_true,-0.0896045868576805,0.25490065524928,10,PLP_sim
sigma0,0.473288829363719,0.156232226322766,10,PLP_sim
beta,1.18324717495793,0.0534994542630634,10,PLP_sim
R1_K[1],0.966823106495647,0.0674595444361387,10,PLP_sim
R1_K[2],0.310149006126785,0.0582860616480187,10,PLP_sim
R1_K[3],0.236125131023434,0.0356694303827542,10,PLP_sim
mu0_true,-0.0554091737093931,0.215184319400985,10,PLP_sim
sigma0,0.254481580418224,0.116867430193982,10,PLP_sim
beta,1.23938468248447,0.0518106558604378,10,PLP_sim
R1_K[1],1.01368134628633,0.0574429288127201,10,PLP_sim
R1_K[2],0.254846343168154,0.0745640679466104,10,PLP_sim
R1_K[3],0.269482261412315,0.0413075609930889,10,PLP_sim
mu0_true,-0.0352809925017503,0.161570878707028,10,PLP_sim
sigma0,0.496171184191009,0.158752483897682,10,PLP_sim
beta,1.2235476941884,0.0674885193627045,10,PLP_sim
R1_K[1],1.0623581222367,0.089664620473628,10,PLP_sim
R1_K[2],0.414631383121214,0.083359441191215,10,PLP_sim
R1_K[3],0.101475156705049,0.0390724524898297,10,PLP_sim
mu0_true,0.238514507268522,0.232250214131617,10,PLP_sim
sigma0,0.524422476359807,0.151354831286155,10,PLP_sim
beta,1.22096580087721,0.0485755399499908,10,PLP_sim
R1_K[1],1.03233187787686,0.0661202147122517,10,PLP_sim
R1_K[2],0.237372790111883,0.0417642266223288,10,PLP_sim
R1_K[3],0.201578338506076,0.0410240779065849,10,PLP_sim
mu0_true,0.127164151846466,0.209659005743357,10,PLP_sim
sigma0,0.393357912724353,0.141673095315974,10,PLP_sim
beta,1.15359778934747,0.0616598055544076,10,PLP_sim
R1_K[1],1.14018306292724,0.085160816480318,10,PLP_sim
R1_K[2],0.369653760561199,0.0849720982458325,10,PLP_sim
R1_K[3],0.259655638388257,0.0405234735034351,10,PLP_sim
mu0_true,0.0753573583257736,0.201148922422305,10,PLP_sim
sigma0,0.531314296101064,0.145237507588153,10,PLP_sim
beta,1.29446349518077,0.0594930759836413,10,PLP_sim
R1_K[1],1.02584640976876,0.0685450175560587,10,PLP_sim
R1_K[2],0.236775424131942,0.0505187018734108,10,PLP_sim
R1_K[3],0.186211153107335,0.0303721295090764,10,PLP_sim
mu0_true,0.302254526040678,0.208038820449133,10,PLP_sim
sigma0,0.640474792868687,0.181944473540587,10,PLP_sim
beta,1.2092174123476,0.0455988864377812,10,PLP_sim
R1_K[1],1.0265609801145,0.0556113405979866,10,PLP_sim
R1_K[2],0.258167094983233,0.0468551147215373,10,PLP_sim
R1_K[3],0.183442507609229,0.0328915984865123,10,PLP_sim
mu0_true,0.127284157186122,0.2644230573939,10,PLP_sim
sigma0,0.722464180575442,0.258758712103817,10,PLP_sim
beta,1.24233001292532,0.058765368217626,10,PLP_sim
R1_K[1],0.993560531747758,0.0706949832904391,10,PLP_sim
R1_K[2],0.343627337313925,0.0540261798889404,10,PLP_sim
R1_K[3],0.182302447366862,0.0320544465027793,10,PLP_sim
mu0_true,0.176656005126187,0.295205277068944,10,PLP_sim
sigma0,0.41615721515292,0.137950056254828,10,PLP_sim
beta,1.23537549029189,0.0539168350237169,10,PLP_sim
R1_K[1],1.01335405722304,0.063987937515119,10,PLP_sim
R1_K[2],0.307271771894501,0.074896540920349,10,PLP_sim
R1_K[3],0.211688341943965,0.0388851844157285,10,PLP_sim
mu0_true,0.347849384532932,0.186239289088766,10,PLP_sim
sigma0,0.464722054488149,0.145726869025694,10,PLP_sim
beta,1.17669735018043,0.0653374966446735,10,PLP_sim
R1_K[1],1.04495386256472,0.0918642023558905,10,PLP_sim
R1_K[2],0.314500143966856,0.0637194728531283,10,PLP_sim
R1_K[3],0.179282094653052,0.0447405663765931,10,PLP_sim
mu0_true,0.152091171552283,0.209256701568346,10,PLP_sim
sigma0,0.432741639836578,0.133913933456251,10,PLP_sim
beta,1.18489816830572,0.048397441091543,10,PLP_sim
R1_K[1],1.01818040139965,0.0673800014729348,10,PLP_sim
R1_K[2],0.358845545891516,0.0638644390678761,10,PLP_sim
