sample_size,parameter,mean,sd,2.5%,50%,97.5%
10,theta,5.3372251391444285,0.7538369301335134,3.894144730364209,5.32916218291698,6.864468292245574
10,beta,1.7331510077028056,0.20318735217633715,1.3888578781590875,1.7306365656517797,2.093546297125568
10,theta,4.638587106607501,0.7100751670940174,3.3323956405008497,4.6193853067966035,6.013408897167762
10,beta,2.7234503239542245,0.3951814032089289,1.9741258095365608,2.725770409060753,3.5187321431648098
10,theta,5.800983074134712,0.6469907714765073,4.436628423108763,5.820574275132908,6.922318545910612
10,beta,1.9638181064685827,0.22486961825990825,1.5601393442026117,1.9655923653669154,2.3968237313779146
10,theta,5.067479135589607,0.6633008759601492,3.6721616929855947,5.0796209725358565,6.300961619971292
10,beta,1.963103827125572,0.2562736843461946,1.4748272493294239,1.9548716063565825,2.4898485132498918
10,theta,5.347869597699269,0.6889993704968317,3.9931510098893988,5.371512657291042,6.654720879517978
10,beta,1.7975117199041184,0.238325597036457,1.3632095005721934,1.8068486546443858,2.2568430189809017
10,theta,3.9232680794548123,0.5898810368501078,2.7546528595834525,3.934255377454679,4.988810702907738
10,beta,1.834795579223368,0.23325765350761454,1.389315452093149,1.8288194625203364,2.3076821740578453
10,theta,4.62728240144253,0.6846046208002097,3.331726562892366,4.6257150438126144,6.012411144730618
10,beta,1.9531778597798444,0.26318073782424783,1.421127761576182,1.9560842865554422,2.4866772389771112
10,theta,4.9648764564222825,0.713519848703248,3.4796855499778623,4.97160638221715,6.261333498719585
10,beta,1.8682158909088378,0.28665402940420165,1.3511097228657984,1.8554773289644455,2.4108309820950304
10,theta,4.477998222866255,0.7198565742730407,3.172797467342865,4.550783790137354,5.880418886662342
10,beta,2.594296672255386,0.3202835582568743,2.028697942749003,2.579732739239957,3.24574901928485
10,theta,6.489513457377564,0.7016279247590366,5.186059443114605,6.50926109102118,7.934753094908851
10,beta,1.6926695036767416,0.2277373695004963,1.2765049949052556,1.690131209227939,2.142672072652812
10,theta,4.091832074341493,0.6626899508481419,2.900304314943566,4.069790801442602,5.484084120886012
10,beta,2.007966257584306,0.2748920615103603,1.4958708595361196,1.9915925535003849,2.5735990255300965
10,theta,4.7486360634371465,0.6591663387922099,3.4519750799708744,4.749221808551758,5.880132660411938
10,beta,2.11845554280724,0.2932341561480423,1.6121469874398242,2.093208956005652,2.6826725440063566
10,theta,4.869950380684711,0.5863709053861943,3.6860545544161765,4.932972634193923,5.94889556063388
10,beta,2.113698443465982,0.24511473467491116,1.6420063169321022,2.103678628910246,2.618000288293292
10,theta,5.201545363089401,0.6471036563326463,3.925773570718608,5.255316980232305,6.4487923475013655
10,beta,2.010213845934583,0.21923306072592294,1.5833644352722178,2.012077328066441,2.4584629064475365
10,theta,4.769176698884608,0.6059338961672688,3.5842066954049887,4.758698471963246,5.872287026086754
10,beta,1.9746433991987762,0.26035453547636905,1.5249241508192766,1.9579629672723802,2.5462038026102345
10,theta,5.846642615220549,0.8094704269838098,4.286025378008601,5.81772229417623,7.490871550485879
10,beta,2.3996066540016674,0.36074730232418195,1.7957455750943114,2.3665719119762416,3.1525838244037816
10,theta,5.779788863816584,0.7389902232669566,4.255493139176402,5.773327784676169,7.225908355911111
10,beta,1.9045220442716255,0.2756108297866365,1.382028386879429,1.8913319316285715,2.460307737502891
10,theta,4.721521506359938,0.7302381054888499,3.2583982932905107,4.756076386710205,6.014382445502854
10,beta,1.76799723204917,0.23125478632596763,1.319170711018648,1.7701515032640724,2.25547879966131
10,theta,5.086304559098494,0.790939410003222,3.5442667413142708,5.080855814209301,6.752131166225078
10,beta,1.6631320968454053,0.19386648711372542,1.3056432144431493,1.6600481256852162,2.0436675835151625
10,theta,4.04494701100681,0.6656957024320166,2.8304202075128133,4.042753282669548,5.384612069501381
10,beta,1.9371051659509975,0.24685132500310847,1.4990391449969844,1.928195728041075,2.4335264141065527
10,theta,5.454403897111607,0.7616512535283396,3.8454338108396557,5.486217997335711,6.834590831001254
10,beta,1.9400051284964732,0.24100235483374124,1.4868844330154083,1.9297499730168515,2.386429224942735
10,theta,4.958986955455464,0.6933870410971322,3.6304311825686413,4.99048060305287,6.255266188375427
10,beta,2.185655234452156,0.25745486752535607,1.709072566197191,2.169568107805886,2.7221213530844333
10,theta,5.494302507580515,0.6827350851654058,4.1484085421045815,5.524827604202163,6.882514446034966
10,beta,1.970957396611542,0.23190396854329492,1.5817239189032097,1.977437442613839,2.434354694947011
10,theta,4.933021107857403,0.6461011117467557,3.6859780834655287,4.885443533261871,6.210028257396969
10,beta,1.9381140868608706,0.23085186039196245,1.516018596492752,1.9277848373060837,2.4215668808562767
10,theta,6.019326216523733,0.8452137624139218,4.34253376568862,6.0314674235640124,7.54416717180472
10,beta,1.949568242860046,0.21174988051266308,1.5355980436587031,1.9470909610990428,2.3749719364098336
10,theta,4.986452311753253,0.6326575667153765,3.809769378226382,4.995635165286677,6.159061690891147
10,beta,2.3932427207084985,0.28266655560341436,1.8165014289067851,2.39283046184368,2.8940333337107575
10,theta,7.184018394102689,0.838269148841982,5.203097518742489,7.181810426594232,8.643583513963407
10,beta,1.9463919133306493,0.2287764703169867,1.499448389788621,1.9505575348470825,2.402343631890778
10,theta,4.613319968820205,0.6548663870059004,3.261936018331915,4.643854358168666,5.862703173134642
10,beta,2.00951809250631,0.24870102532920257,1.5040246888328732,2.0066160556237715,2.4838926280995812
10,theta,5.081770531188981,0.7219488143499655,3.5719721734498617,5.106698270239111,6.264447349265465
50,beta,2.227590250259339,0.13141634389848833,1.991351593747032,2.2227440547819715,2.495354996604301
50,theta,5.751184442427285,0.32160628624083903,5.133107151042328,5.750339034643357,6.361799619957037
50,beta,2.049075963518161,0.11584674769659026,1.8283265956394295,2.0471648264324678,2.2678986977119866
50,theta,5.2430906978499605,0.31812504787162443,4.607673469126014,5.260350252624852,5.807845923109863
50,beta,2.134741043833598,0.12374470997746723,1.899494735583717,2.128796787608139,2.384017947381889
50,theta,5.342436718088841,0.3263985130465341,4.627320450793867,5.331431113059468,5.967140764697939
50,beta,1.9493887220488824,0.09876094794158138,1.7621137058546212,1.9517633523655107,2.144581122562251
50,theta,4.919586575003256,0.29719771808828915,4.375998101367797,4.919347759710044,5.48946936655033
50,beta,1.9943062553455406,0.10980899164279823,1.7813586651678261,1.9850388649335031,2.2195404496586875
50,theta,4.970634332736157,0.2945471764565844,4.4056838847875675,4.96750871128598,5.530878174134387
50,beta,2.084043177867206,0.10456465680986714,1.8976703207377894,2.084470060481027,2.2871157865503235
