sample_size,parameter,mean,sd,2.5%,50%,97.5%
1000,theta,10.027251763225118,0.14562955121291993,9.753205003962773,10.029660585408514,10.299303242705484
1000,beta,2.023846396941687,0.017683440886722683,1.9912764175849824,2.023714001258664,2.0572073965553974
1000,theta,10.170195344315555,0.11017874922973013,9.962684362867678,10.173933662802717,10.365366670892419
1000,beta,2.0097928765203825,0.020465025223517286,1.9688857188919375,2.010505126214487,2.0493018338564033
1000,theta,9.99536121799795,0.1380317540239844,9.715157801785029,10.000717848937363,10.258471185090194
1000,beta,2.0164639841279244,0.0183641897704645,1.9829557423487916,2.0175593302014647,2.0513862397681963
1000,theta,10.02381283868065,0.12078717755882165,9.806080744320184,10.025013286061771,10.270454199410906
1000,beta,1.972471597547443,0.01586201960990385,1.9431547894164356,1.971354898683362,2.001947034071659
1000,theta,9.801233680523428,0.10376959749364074,9.60601905040092,9.80009865689703,10.0031314970919
1000,beta,2.013928879808727,0.019455717514093473,1.9740934262889893,2.0153799841607904,2.0503794806061677
1000,theta,10.085238164490315,0.12628092069330418,9.833796552955457,10.090784311357751,10.324087911318088
1000,beta,1.980799294882467,0.01784733037066475,1.9468797868444185,1.9820022755062077,2.014226744506438
1000,theta,9.819565376024565,0.12019961770437297,9.574222619306134,9.824332376176322,10.054588532025193
1000,beta,2.002298785529294,0.019435757693839185,1.9649741669338563,2.0014354505207663,2.0391810913100765
1000,theta,10.113882720095564,0.12855809317274264,9.86546658435146,10.103974081268971,10.35696896716933
1000,beta,1.9989333803988247,0.020346154302422703,1.9601695273105015,1.9992823062680294,2.0397394747391626
1000,theta,9.956338686274725,0.13549244487705733,9.686000758374187,9.955324412130814,10.230839020973189
1000,beta,1.99921650885709,0.01840795787353538,1.964297124334479,1.9989531874159323,2.0332449915572517
1000,theta,9.976837249266147,0.11891497064990399,9.760554868596703,9.971461928250895,10.21557356837977
1000,beta,1.9769060513693288,0.019466741745877297,1.935690146215655,1.977293615774516,2.0122395728582765
1000,theta,9.918763778566161,0.13143457179927037,9.638873399389146,9.928884284715274,10.151850934024187
1000,beta,1.9474256979345654,0.01762060249168197,1.914549462151572,1.947504504086628,1.9823991831104306
1000,theta,9.720327332769127,0.12233121982738045,9.494004673343586,9.720466719675493,9.96537830590908
1000,beta,2.003459110237442,0.020661156548926786,1.9686418462503914,2.001190457921483,2.0486752384158566
1000,theta,10.009118484347502,0.1359517070431919,9.77295714281014,10.003185809080383,10.325520512120244
1000,beta,2.0251631903088825,0.020579811922307366,1.9839476107806564,2.0258081147682043,2.0641580884779884
1000,theta,10.208952122541477,0.1312924317409739,9.970426468721833,10.206453588635394,10.49037995408143
1000,beta,1.9990746834956472,0.017612217936358605,1.9626762808241174,1.9988938111265695,2.0317196495238274
1000,theta,10.006030440299417,0.11609421551847111,9.777434832805302,10.012308182021641,10.22150475052742
1000,beta,1.9900360884864103,0.018999852997186272,1.9528772816047295,1.9893812115155698,2.024382937688894
1000,theta,10.013692249342514,0.12883866391478732,9.744743116842312,10.003388064777823,10.265721040527794
1000,beta,1.989891937096971,0.01902571570862198,1.9491569031743412,1.9892588171550105,2.0247055789298116
1000,theta,9.962373766471037,0.1273690623965425,9.687561019710069,9.963088555297613,10.189916142559039
1000,beta,2.0312467973518142,0.018658967840851887,1.9965613578588215,2.0305715134464553,2.06818039190632
1000,theta,10.294835132105781,0.12155082256718307,10.065647773486194,10.290764723200493,10.541060810942552
1000,beta,2.00474944435751,0.019005095003294815,1.9681148980364387,2.00446813310332,2.039924973235463
1000,theta,10.004956293389967,0.12861145855271708,9.76711154390625,10.002263856061246,10.24555297201027
1000,beta,2.0121072847931307,0.016490104608124334,1.9824328221179317,2.012876312586565,2.0430719390971865
1000,theta,10.020238856612139,0.11228709955676151,9.795293617466383,10.023100879378237,10.218952651677675
1000,beta,2.0025943537735498,0.01920568876073442,1.9626789670406595,2.0040591487793833,2.0360414942017133
1000,theta,9.976151927360254,0.12793669765698087,9.706274797591373,9.980226921399222,10.199576375938614
1000,beta,2.008562656526563,0.019119307065929587,1.9749601779644206,2.007104295391417,2.047612562443037
1000,theta,10.111563862411712,0.1280534191264322,9.89500646796232,10.099940507245456,10.386133163262922
1000,beta,2.044131954403775,0.022944711476464933,2.0005368861595225,2.044651076172154,2.085068679392606
1000,theta,10.25584012667268,0.14349565200775993,9.984914901692132,10.259083305384493,10.51872950687844
1000,beta,2.0042216317187944,0.020503205773310273,1.964423147393218,2.0031878314042935,2.0437446469010996
1000,theta,10.027314053099735,0.13631608344713608,9.770463968805243,10.023243606917923,10.293341261273913
1000,beta,1.9916989979261313,0.020729012639394882,1.9487292934161784,1.9934055194614473,2.0310884441545536
1000,theta,9.896532728833588,0.13844383471089658,9.610097911120972,9.904654564984533,10.149491047238572
1000,beta,2.0233694778580444,0.02140654523734525,1.9852197649419296,2.0221053516371574,2.0690065785106815
1000,theta,10.113863689886095,0.14385425811679023,9.83554684487607,10.102985389784156,10.429385891042852
1000,beta,2.008367292125657,0.018348892193548485,1.9670609947424915,2.0090995652432992,2.0420690951529323
1000,theta,10.049251428961359,0.12026577642860876,9.785908913002938,10.057584036682854,10.275230425601539
1000,beta,2.004142034416334,0.01841548246396539,1.9657792013801858,2.003928194463726,2.0396311259463937
1000,theta,9.989447292248673,0.12410241281474335,9.741403622509331,9.981345867775532,10.24430420265908
1000,beta,2.0043910047924505,0.017850827735698363,1.9671426095894828,2.005500807183074,2.0360923877989863
1000,theta,10.05520077373297,0.12032797679510256,9.805492728855192,10.063817185111967,10.265554748082575
1000,beta,2.017560761391265,0.01859437101534841,1.9800551657148624,2.018267776790076,2.0504814653374797
1000,theta,10.168178414285835,0.12075979369464016,9.92449099953842,10.16838565790204,10.408532617541738
1000,beta,2.0069108623952188,0.01866653162844746,1.972197411341591,2.005918407260749,2.0438743139143694
1000,theta,10.072786964210694,0.12297619272166437,9.85476530545305,10.064629482630618,10.316049700753457
1000,beta,2.0186754700979943,0.020527906320423697,1.9779314300795088,2.019543431833437,2.05771490618294
1000,theta,10.149608555907669,0.13722772938784122,9.895037495766868,10.151142894911835,10.440219106832114
1000,beta,1.993509065554444,0.018470089566010157,1.9566374555767299,1.9945593483110948,2.0297700591079963
1000,theta,9.939966376403474,0.12096171484318048,9.69532000370048,9.940139209448166,10.159898083952921
1000,beta,2.0155581450263615,0.021266900956388654,1.9761618515950068,2.0154116034929164,2.0586558157455
1000,theta,10.136712558354917,0.14485738564209702,9.8779539994692,10.132932907698379,10.398692517173568
1000,beta,1.994868290397045,0.018518637726791933,1.961172659257486,1.9931227599292654,2.0310954965299333
1000,theta,9.995556621210458,0.12528096718314075,9.759809317273994,9.99284298988756,10.250933514713743
1000,beta,1.987130248782054,0.01869041783812361,1.9508730377015295,1.9872223373716917,2.0209221289735386
1000,theta,9.962613097861492,0.1251309518476192,9.713218101293386,9.960801789836541,10.199943997159147
1000,beta,2.0295177465883176,0.018705754098672762,1.9931430814730895,2.028688866263866,2.0659606056840003
1000,theta,10.254500770891738,0.12247647385181393,10.019477419753404,10.25112145303087,10.47878786303559
1000,beta,2.0122986891592287,0.018619402835307438,1.9786658927520346,2.0132218026928896,2.0477057969285557
1000,theta,10.066185698717103,0.12290145544847272,9.823791672715046,10.064616758148581,10.301541768934285
1000,beta,2.0132889980552835,0.020328618904616253,1.9773299540126943,2.0122012184991807,2.053501858768657
1000,theta,10.112783915331676,0.1311152642352903,9.878215969541081,10.111147538948668,10.367536925231256
1000,beta,2.032836776522863,0.02018208197053816,1.9957386735835625,2.031867010628802,2.0713565161042427
1000,theta,10.198877383274194,0.13366669828964006,9.935871691416061,10.200779142360906,10.449155837847401
1000,beta,2.016272297107331,0.020309628691802424,1.9781966006937768,2.0155652320948096,2.0574845006360274
1000,theta,10.141684080159346,0.13300581303416814,9.904222410880704,10.134750040338384,10.405759720803214
1000,beta,2.0247329515867705,0.017877887920326675,1.9877433570411387,2.0240975601639786,2.0567469251378148
1000,theta,10.221609220861286,0.12311540352968046,9.961170732545247,10.222831259221799,10.4466497690004
1000,beta,1.9974333810836016,0.018589403609566447,1.9624494801676726,1.996936016168359,2.033676090532821
1000,theta,10.023691460930063,0.12171355933243234,9.78793103727595,10.021467063823357,10.25179126409136
1000,beta,2.0066532441841316,0.02039369243142615,1.9644086094019957,2.0077110411663543,2.0483528066458594
1000,theta,10.075452079687363,0.13830996971417828,9.795731328209245,10.079713824443147,10.326454822831092
1000,beta,1.9762879360203052,0.017700898870634394,1.941529786467873,1.975376397774522,2.0124165203298876
1000,theta,9.870903968974655,0.11749194127448016,9.61197340445112,9.871483316597404,10.105119533734676
1000,beta,2.0007617818536727,0.0192582474438366,1.9662429488853799,1.9996425203884165,2.0378924715610105
1000,theta,9.925005920355995,0.1287926407827453,9.6934715562404,9.912599538617302,10.188343338515963
1000,beta,1.996698070236795,0.019260109788169087,1.9626333764896144,1.9954646512339576,2.035019668150327
1000,theta,10.039982581714657,0.12759721279874017,9.814332139658648,10.035192983776682,10.286655790034835
1000,beta,2.021501877689624,0.019502962409608984,1.9831570457086831,2.02183684042844,2.0577958496033144
1000,theta,10.119626124104373,0.1260850381462786,9.848210514937671,10.128624339846214,10.369008201135411
1000,beta,1.9533346068661257,0.019148238966869516,1.913587719227607,1.9546271887804736,1.991774143128909
1000,theta,9.653037742128546,0.1231346370005293,9.390055948171998,9.66051763407398,9.880341922027043
1000,beta,2.003097303042073,0.020376183011285076,1.9635901547492536,2.0030318274130816,2.043356205024186
1000,theta,10.002667557226063,0.13418592314895078,9.735058353487611,10.002060759577219,10.263098499200636
1000,beta,2.018498864824766,0.018022959393897326,1.9810226965991786,2.019373718296817,2.051481083692371
1000,theta,10.10522200506434,0.11865636750797492,9.856679731872289,10.10676387246096,10.320152821605888
1000,beta,1.989023818345923,0.016708648438986107,1.9566359805355495,1.9892794593422911,2.0207377389557197
1000,theta,9.878249759134622,0.10838787649512244,9.65196653969969,9.885680504718152,10.06587520402799
1000,beta,1.9921003964304076,0.02083786998467401,1.956438400406449,1.991103553815042,2.0368972545746944
1000,theta,9.958365245720156,0.13527355933008942,9.712706236730142,9.953980154865913,10.251286091634238
1000,beta,2.0212443828129834,0.018895279747629296,1.9818422944339362,2.02225515422915,2.0540644761907805
